1,Africa/Abidjan,GMT0
2,Africa/Accra,GMT0
3,Africa/Addis_Ababa,EAT-3
4,Africa/Algiers,CET-1
5,Africa/Asmara,EAT-3
6,Africa/Bamako,GMT0
7,Africa/Bangui,WAT-1
8,Africa/Banjul,GMT0
9,Africa/Bissau,GMT0
10,Africa/Blantyre,CAT-2
11,Africa/Brazzaville,WAT-1
12,Africa/Bujumbura,CAT-2
13,Africa/Cairo,EET-2
14,Africa/Casablanca,<+01>-1
15,Africa/Ceuta,"CET-1CEST,M3.5.0,M10.5.0/3"
16,Africa/Conakry,GMT0
17,Africa/Dakar,GMT0
18,Africa/Dar_es_Salaam,EAT-3
19,Africa/Djibouti,EAT-3
20,Africa/Douala,WAT-1
21,Africa/El_Aaiun,<+01>-1
22,Africa/Freetown,GMT0
23,Africa/Gaborone,CAT-2
24,Africa/Harare,CAT-2
25,Africa/Johannesburg,SAST-2
26,Africa/Juba,CAT-2
27,Africa/Kampala,EAT-3
28,Africa/Khartoum,CAT-2
29,Africa/Kigali,CAT-2
30,Africa/Kinshasa,WAT-1
31,Africa/Lagos,WAT-1
32,Africa/Libreville,WAT-1
33,Africa/Lome,GMT0
34,Africa/Luanda,WAT-1
35,Africa/Lubumbashi,CAT-2
36,Africa/Lusaka,CAT-2
37,Africa/Malabo,WAT-1
38,Africa/Maputo,CAT-2
39,Africa/Maseru,SAST-2
40,Africa/Mbabane,SAST-2
41,Africa/Mogadishu,EAT-3
42,Africa/Monrovia,GMT0
43,Africa/Nairobi,EAT-3
44,Africa/Ndjamena,WAT-1
45,Africa/Niamey,WAT-1
46,Africa/Nouakchott,GMT0
47,Africa/Ouagadougou,GMT0
48,Africa/Porto-Novo,WAT-1
49,Africa/Sao_Tome,GMT0
50,Africa/Tripoli,EET-2
51,Africa/Tunis,CET-1
52,Africa/Windhoek,CAT-2
53,America/Adak,"HST10HDT,M3.2.0,M11.1.0"
54,America/Anchorage,"AKST9AKDT,M3.2.0,M11.1.0"
55,America/Anguilla,AST4
56,America/Antigua,AST4
57,America/Araguaina,<-03>3
58,America/Argentina/Buenos_Aires,<-03>3
59,America/Argentina/Catamarca,<-03>3
60,America/Argentina/Cordoba,<-03>3
61,America/Argentina/Jujuy,<-03>3
62,America/Argentina/La_Rioja,<-03>3
63,America/Argentina/Mendoza,<-03>3
64,America/Argentina/Rio_Gallegos,<-03>3
65,America/Argentina/Salta,<-03>3
66,America/Argentina/San_Juan,<-03>3
67,America/Argentina/San_Luis,<-03>3
68,America/Argentina/Tucuman,<-03>3
69,America/Argentina/Ushuaia,<-03>3
70,America/Aruba,AST4
71,America/Asuncion,"<-04>4<-03>,M10.1.0/0,M3.4.0/0"
72,America/Atikokan,EST5
73,America/Bahia,<-03>3
74,America/Bahia_Banderas,"CST6CDT,M4.1.0,M10.5.0"
75,America/Barbados,AST4
76,America/Belem,<-03>3
77,America/Belize,CST6
78,America/Blanc-Sablon,AST4
79,America/Boa_Vista,<-04>4
80,America/Bogota,<-05>5
81,America/Boise,"MST7MDT,M3.2.0,M11.1.0"
82,America/Cambridge_Bay,"MST7MDT,M3.2.0,M11.1.0"
83,America/Campo_Grande,<-04>4
84,America/Cancun,EST5
85,America/Caracas,<-04>4
86,America/Cayenne,<-03>3
87,America/Cayman,EST5
88,America/Chicago,"CST6CDT,M3.2.0,M11.1.0"
89,America/Chihuahua,"MST7MDT,M4.1.0,M10.5.0"
90,America/Costa_Rica,CST6
91,America/Creston,MST7
92,America/Cuiaba,<-04>4
93,America/Curacao,AST4
94,America/Danmarkshavn,GMT0
95,America/Dawson,MST7
96,America/Dawson_Creek,MST7
97,America/Denver,"MST7MDT,M3.2.0,M11.1.0"
98,America/Detroit,"EST5EDT,M3.2.0,M11.1.0"
99,America/Dominica,AST4
100,America/Edmonton,"MST7MDT,M3.2.0,M11.1.0"
101,America/Eirunepe,<-05>5
102,America/El_Salvador,CST6
103,America/Fortaleza,<-03>3
104,America/Fort_Nelson,MST7
105,America/Glace_Bay,"AST4ADT,M3.2.0,M11.1.0"
106,America/Godthab,"<-03>3<-02>,M3.5.0/-2,M10.5.0/-1"
107,America/Goose_Bay,"AST4ADT,M3.2.0,M11.1.0"
108,America/Grand_Turk,"EST5EDT,M3.2.0,M11.1.0"
109,America/Grenada,AST4
110,America/Guadeloupe,AST4
111,America/Guatemala,CST6
112,America/Guayaquil,<-05>5
113,America/Guyana,<-04>4
114,America/Halifax,"AST4ADT,M3.2.0,M11.1.0"
115,America/Havana,"CST5CDT,M3.2.0/0,M11.1.0/1"
116,America/Hermosillo,MST7
117,America/Indiana/Indianapolis,"EST5EDT,M3.2.0,M11.1.0"
118,America/Indiana/Knox,"CST6CDT,M3.2.0,M11.1.0"
119,America/Indiana/Marengo,"EST5EDT,M3.2.0,M11.1.0"
120,America/Indiana/Petersburg,"EST5EDT,M3.2.0,M11.1.0"
